job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,emb_initialize,emb_regularize,emb_regularize_p,emb_regularize_weighted,emb_e_dim,emb_e_regularize_weight,emb_e_dropout,emb_r_dim,emb_r_regularize_weight,emb_r_dropout,train_type,train_loss,train_batch_size,train_optimizer,train_lr,train_lr_scheduler,train_lr_scheduler_patience,raw_mrr,raw_hits@1,raw_hits@3,raw_hits@10,fil_mrr,fil_hits@1,fil_hits@3,fil_hits@10,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10,folder
e7d884f9,fb15k-237,complex,1,search,negative_sampling,valid,345,,,,mean_reciprocal_rank_filtered_with_test,0.3545120139185914,uniform_,lp,3,1,256,,0.5,256,,0.22684140529516872,negative_sampling,kl,1024,Adagrad,0.18255429345236635,ReduceLROnPlateau,7,0.1889242441456373,0.11913315951824188,0.1934131681919098,0.33624181151390076,0.31153129009837466,0.21573995053768158,0.34710580110549927,0.5038779377937317,0.3545120139185914,0.2609637975692749,0.3909609317779541,0.5392358303070068,/work/pi1/iclr2020/fb15k-237/complex-negative_sampling-kl-bo-best
e7d884f9,fb15k-237,complex,1,search,negative_sampling,valid,355,,,,mean_reciprocal_rank_filtered_with_test,0.3534209761281009,uniform_,lp,3,1,256,,0.5,256,,0.22684140529516872,negative_sampling,kl,1024,Adagrad,0.18255429345236635,ReduceLROnPlateau,7,0.1883240772918449,0.11867693066596985,0.19418306648731232,0.334616482257843,0.3108959814745509,0.2153407484292984,0.34539490938186646,0.5039634704589844,0.3534209761281009,0.2607641816139221,0.3884516656398773,0.5408040881156921,/work/pi1/iclr2020/fb15k-237/complex-negative_sampling-kl-bo-best
e7d884f9,fb15k-237,complex,1,search,negative_sampling,valid,315,,,,mean_reciprocal_rank_filtered_with_test,0.3530137270102652,uniform_,lp,3,1,256,,0.5,256,,0.22684140529516872,negative_sampling,kl,1024,Adagrad,0.18255429345236635,ReduceLROnPlateau,7,0.18805351072408755,0.11807812750339508,0.19381237030029297,0.33421728014945984,0.3105071107784431,0.2156544029712677,0.3439691960811615,0.5021955966949463,0.3530137270102652,0.2595665752887726,0.3894781768321991,0.5383233428001404,/work/pi1/iclr2020/fb15k-237/complex-negative_sampling-kl-bo-best
e7d884f9,fb15k-237,complex,1,search,negative_sampling,valid,250,,,,mean_reciprocal_rank_filtered_with_test,0.35338530528229256,uniform_,lp,3,1,256,,0.5,256,,0.22684140529516872,negative_sampling,kl,1024,Adagrad,0.18255429345236635,ReduceLROnPlateau,7,0.18907862288815228,0.11927573382854462,0.19580838084220886,0.3343028128147125,0.3113732356715141,0.21676646173000336,0.3463073968887329,0.5026233196258545,0.35338530528229256,0.26102080941200256,0.38808098435401917,0.5401482582092285,/work/pi1/iclr2020/fb15k-237/complex-negative_sampling-kl-bo-best
e7d884f9,fb15k-237,complex,1,search,negative_sampling,valid,260,,,,mean_reciprocal_rank_filtered_with_test,0.3522152124322783,uniform_,lp,3,1,256,,0.5,256,,0.22684140529516872,negative_sampling,kl,1024,Adagrad,0.18255429345236635,ReduceLROnPlateau,7,0.1886277528648061,0.1193612739443779,0.19429711997509003,0.3330481946468353,0.3101554146171942,0.21611063182353973,0.3433418869972229,0.5006558299064636,0.3522152124322783,0.2600228190422058,0.387710303068161,0.5364413857460022,/work/pi1/iclr2020/fb15k-237/complex-negative_sampling-kl-bo-best
fb4d372a,fb15k-237,conve,1,search,1vsAll,valid,355,,,,mean_reciprocal_rank_filtered_with_test,0.34291216673795266,xavier_normal_,lp,3,1,288,,-0.4457199978380867,288,,0.11757230155305998,1vsAll,kl,1024,Adagrad,0.004276645525573683,ReduceLROnPlateau,9,0.1889595669152766,0.11879099160432816,0.19478186964988708,0.33678358793258667,0.3035049877922726,0.21151982247829437,0.3345024287700653,0.4912460744380951,0.34291216673795266,0.2536641061306,0.3752495050430298,0.5236954689025879,/work/pi1/iclr2020/fb15k-237/conve-1vsAll-kl-bo-best
fb4d372a,fb15k-237,conve,1,search,1vsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.3417871845594525,xavier_normal_,lp,3,1,288,,-0.4457199978380867,288,,0.11757230155305998,1vsAll,kl,1024,Adagrad,0.004276645525573683,ReduceLROnPlateau,9,0.1876391330063088,0.11733675748109818,0.19386939704418182,0.3352437913417816,0.3025045333440262,0.2102936953306198,0.3343598544597626,0.4881094992160797,0.3417871845594525,0.25203877687454224,0.3739093244075775,0.521043598651886,/work/pi1/iclr2020/fb15k-237/conve-1vsAll-kl-bo-best
fb4d372a,fb15k-237,conve,1,search,1vsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.3419760089196607,xavier_normal_,lp,3,1,288,,-0.4457199978380867,288,,0.11757230155305998,1vsAll,kl,1024,Adagrad,0.004276645525573683,ReduceLROnPlateau,9,0.18697640990340747,0.11656686663627625,0.1928999125957489,0.33424580097198486,0.30236677871934703,0.2099800407886505,0.33433133363723755,0.4902195632457733,0.3419760089196607,0.252238392829895,0.37405189871788025,0.5227544903755188,/work/pi1/iclr2020/fb15k-237/conve-1vsAll-kl-bo-best
fb4d372a,fb15k-237,conve,1,search,1vsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.34362327242835755,xavier_normal_,lp,3,1,288,,-0.4457199978380867,288,,0.11757230155305998,1vsAll,kl,1024,Adagrad,0.004276645525573683,ReduceLROnPlateau,9,0.187678702305211,0.11710864305496216,0.19386939704418182,0.33686912059783936,0.30398187999001997,0.21203307807445526,0.3347875773906708,0.4928143620491028,0.34362327242835755,0.2539777457714081,0.3745366334915161,0.5261191725730896,/work/pi1/iclr2020/fb15k-237/conve-1vsAll-kl-bo-best
fb4d372a,fb15k-237,conve,1,search,1vsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.3428116701864129,xavier_normal_,lp,3,1,288,,-0.4457199978380867,288,,0.11757230155305998,1vsAll,kl,1024,Adagrad,0.004276645525573683,ReduceLROnPlateau,9,0.18775704728934986,0.11762189865112305,0.19218705594539642,0.3373538553714752,0.304161348062803,0.21294553577899933,0.3338465988636017,0.4915882647037506,0.3428116701864129,0.2536641061306,0.37319645285606384,0.5248645544052124,/work/pi1/iclr2020/fb15k-237/conve-1vsAll-kl-bo-best
9c3b7bba,fb15k-237,distmult,1,search,negative_sampling,valid,360,,,,mean_reciprocal_rank_filtered_with_test,0.3503886757734531,uniform_,lp,3,1,256,,0.4196834675552332,256,,0.40971036404279193,negative_sampling,kl,1024,Adagrad,0.15953749294870845,ReduceLROnPlateau,6,0.18781370016663101,0.11896207183599472,0.1930995136499405,0.332278311252594,0.3074490527872826,0.21209010481834412,0.34351298213005066,0.49857428669929504,0.3503886757734531,0.2575705647468567,0.38605645298957825,0.536698043346405,/work/pi1/iclr2020/fb15k-237/distmult-negative_sampling-kl-bo-best
9c3b7bba,fb15k-237,distmult,1,search,negative_sampling,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.34988510701810666,uniform_,lp,3,1,256,,0.4196834675552332,256,,0.40971036404279193,negative_sampling,kl,1024,Adagrad,0.15953749294870845,ReduceLROnPlateau,6,0.18677651672102225,0.11787852644920349,0.19167380034923553,0.3311377167701721,0.3070019559096093,0.21194753050804138,0.34191617369651794,0.4977758824825287,0.34988510701810666,0.25731393694877625,0.38460221886634827,0.5336184501647949,/work/pi1/iclr2020/fb15k-237/distmult-negative_sampling-kl-bo-best
9c3b7bba,fb15k-237,distmult,1,search,negative_sampling,valid,365,,,,mean_reciprocal_rank_filtered_with_test,0.3492638606715141,uniform_,lp,3,1,256,,0.4196834675552332,256,,0.40971036404279193,negative_sampling,kl,1024,Adagrad,0.15953749294870845,ReduceLROnPlateau,6,0.18566097436822784,0.11645280569791794,0.19213002920150757,0.33031079173088074,0.3064834894942258,0.21194753050804138,0.34074708819389343,0.4993726909160614,0.3492638606715141,0.25719988346099854,0.38300541043281555,0.5347020030021667,/work/pi1/iclr2020/fb15k-237/distmult-negative_sampling-kl-bo-best
9c3b7bba,fb15k-237,distmult,1,search,negative_sampling,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.34964950122077276,uniform_,lp,3,1,256,,0.4196834675552332,256,,0.40971036404279193,negative_sampling,kl,1024,Adagrad,0.15953749294870845,ReduceLROnPlateau,6,0.1864569271056102,0.11722269654273987,0.1915312260389328,0.3320786952972412,0.30692290085008556,0.21137724816799164,0.34257200360298157,0.4979184567928314,0.34964950122077276,0.2573709785938263,0.3842030167579651,0.5339035987854004,/work/pi1/iclr2020/fb15k-237/distmult-negative_sampling-kl-bo-best
9c3b7bba,fb15k-237,distmult,1,search,negative_sampling,valid,285,,,,mean_reciprocal_rank_filtered_with_test,0.3494288766217565,uniform_,lp,3,1,256,,0.4196834675552332,256,,0.40971036404279193,negative_sampling,kl,1024,Adagrad,0.15953749294870845,ReduceLROnPlateau,6,0.1871205134374109,0.11770743876695633,0.19272883236408234,0.3315369188785553,0.3072047868548617,0.21226118505001068,0.3411462903022766,0.4987168610095978,0.3494288766217565,0.25628742575645447,0.38608497381210327,0.5345879793167114,/work/pi1/iclr2020/fb15k-237/distmult-negative_sampling-kl-bo-best
193b6b69,fb15k-237,rescal,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.36356686738130883,normal_,,,1,128,,0.4267429455561116,16384,,0.15935746704923415,1vsAll,kl,512,Adam,0.0007391873099551063,ReduceLROnPlateau,1,0.1795828822266182,0.11015112698078156,0.18571428954601288,0.3261762261390686,0.3178602616196179,0.22512118518352509,0.35075563192367554,0.5060450434684753,0.36356686738130883,0.2720273733139038,0.3990875482559204,0.5472768545150757,/work/pi1/iclr2020/fb15k-237/rescal-1vsAll-kl-bo-best
193b6b69,fb15k-237,rescal,0,search,1vsAll,valid,335,,,,mean_reciprocal_rank_filtered_with_test,0.3618009516680924,normal_,,,1,128,,0.4267429455561116,16384,,0.15935746704923415,1vsAll,kl,512,Adam,0.0007391873099551063,ReduceLROnPlateau,1,0.18010794816616765,0.11134873330593109,0.18577131628990173,0.32623323798179626,0.3163348526161962,0.22295409440994263,0.34984317421913147,0.5054177045822144,0.3618009516680924,0.26986026763916016,0.39734816551208496,0.5470202565193176,/work/pi1/iclr2020/fb15k-237/rescal-1vsAll-kl-bo-best
193b6b69,fb15k-237,rescal,0,search,1vsAll,valid,370,,,,mean_reciprocal_rank_filtered_with_test,0.36358285103899346,normal_,,,1,128,,0.4267429455561116,16384,,0.15935746704923415,1vsAll,kl,512,Adam,0.0007391873099551063,ReduceLROnPlateau,1,0.1798405978222127,0.11066438257694244,0.18568576872348785,0.32591959834098816,0.31957087499108927,0.22643284499645233,0.3531223237514496,0.5072141289710999,0.36358285103899346,0.2719988524913788,0.3989734947681427,0.5462503433227539,/work/pi1/iclr2020/fb15k-237/rescal-1vsAll-kl-bo-best
193b6b69,fb15k-237,rescal,0,search,1vsAll,valid,210,,,,mean_reciprocal_rank_filtered_with_test,0.3607815618762475,normal_,,,1,128,,0.4267429455561116,16384,,0.15935746704923415,1vsAll,kl,512,Adam,0.0007391873099551063,ReduceLROnPlateau,1,0.18144325188907898,0.11248930543661118,0.18728257715702057,0.32714569568634033,0.31792564424721986,0.22552038729190826,0.351896196603775,0.50296550989151,0.3607815618762475,0.2715996503829956,0.3940975069999695,0.5401768088340759,/work/pi1/iclr2020/fb15k-237/rescal-1vsAll-kl-bo-best
193b6b69,fb15k-237,rescal,0,search,1vsAll,valid,60,,,,mean_reciprocal_rank_filtered_with_test,0.3556919921318078,normal_,,,1,128,,0.4267429455561116,16384,,0.15935746704923415,1vsAll,kl,512,Adam,0.0007391873099551063,ReduceLROnPlateau,1,0.18558274076846307,0.11554034799337387,0.19096092879772186,0.3351012170314789,0.31458973793484457,0.22437980771064758,0.34613630175590515,0.49669232964515686,0.3556919921318078,0.2654975652694702,0.3905617296695709,0.535186767578125,/work/pi1/iclr2020/fb15k-237/rescal-1vsAll-kl-bo-best
f248da1f,fb15k-237,transe,1,search,negative_sampling,valid,75,,,,mean_reciprocal_rank_filtered_with_test,0.31504073326561166,uniform_,,,0,128,,-0.3519595685173064,128,,-0.17305121371616672,negative_sampling,kl,128,Adam,0.00030000000000000014,ReduceLROnPlateau,5,0.1844873868334759,0.11730823665857315,0.18947818875312805,0.3267750144004822,0.2854214283486598,0.19495294988155365,0.31525519490242004,0.46877673268318176,0.31504073326561166,0.2244938611984253,0.34816083312034607,0.4950670003890991,/work/pi1/iclr2020/fb15k-237/transe-negative_sampling-kl-bo-best
f248da1f,fb15k-237,transe,1,search,negative_sampling,valid,80,,,,mean_reciprocal_rank_filtered_with_test,0.3141767246756487,uniform_,,,0,128,,-0.3519595685173064,128,,-0.17305121371616672,negative_sampling,kl,128,Adam,0.00030000000000000014,ReduceLROnPlateau,5,0.18308482087164957,0.11511263251304626,0.18902195990085602,0.3266039192676544,0.28485506665240945,0.192386656999588,0.3172226846218109,0.4720844030380249,0.3141767246756487,0.22192756831645966,0.34790417551994324,0.49908754229545593,/work/pi1/iclr2020/fb15k-237/transe-negative_sampling-kl-bo-best
f248da1f,fb15k-237,transe,1,search,negative_sampling,valid,80,,,,mean_reciprocal_rank_filtered_with_test,0.3156209901625321,uniform_,,,0,128,,-0.3519595685173064,128,,-0.17305121371616672,negative_sampling,kl,128,Adam,0.00030000000000000014,ReduceLROnPlateau,5,0.18339519343010408,0.11602509021759033,0.18839463591575623,0.32589107751846313,0.2857799468028229,0.194268599152565,0.3168805241584778,0.47131451964378357,0.3156209901625321,0.22455090284347534,0.3483033776283264,0.4989449679851532,/work/pi1/iclr2020/fb15k-237/transe-negative_sampling-kl-bo-best
f248da1f,fb15k-237,transe,1,search,negative_sampling,valid,85,,,,mean_reciprocal_rank_filtered_with_test,0.31450024059024806,uniform_,,,0,128,,-0.3519595685173064,128,,-0.17305121371616672,negative_sampling,kl,128,Adam,0.00030000000000000014,ReduceLROnPlateau,5,0.18179224697925578,0.1145138293504715,0.18631309270858765,0.3242657482624054,0.28541780835650127,0.19404049217700958,0.31705161929130554,0.4701739251613617,0.31450024059024806,0.22286854684352875,0.34898772835731506,0.49834614992141724,/work/pi1/iclr2020/fb15k-237/transe-negative_sampling-kl-bo-best
f248da1f,fb15k-237,transe,1,search,negative_sampling,valid,85,,,,mean_reciprocal_rank_filtered_with_test,0.31544995945608784,uniform_,,,0,128,,-0.3519595685173064,128,,-0.17305121371616672,negative_sampling,kl,128,Adam,0.00030000000000000014,ReduceLROnPlateau,5,0.1826394226056815,0.11516965925693512,0.18842315673828125,0.32486456632614136,0.2856715141146279,0.19338466227054596,0.317308247089386,0.47328200936317444,0.31544995945608784,0.22306814789772034,0.35001426935195923,0.4996863305568695,/work/pi1/iclr2020/fb15k-237/transe-negative_sampling-kl-bo-best
